tweetid,sentiment
1360378130490249217,Positive
1360378123229908992,Positive
1360377006865608705,Neutral
1360375538217414658,Positive
1360375357723971589,Negative
1360372124121059330,Neutral
1360370662406168579,Negative
1360369988876468225,Negative
1360366456832028672,Negative
1360365927137644544,Positive
1360365563252363264,Neutral
1360365119549493249,Negative
1360360596126900234,Positive
1360360034480185345,Neutral
1360358994766794752,Negative
1360358299326050305,Neutral
1360353204567904256,Neutral
1360349146377408514,Neutral
1360341793951289347,Neutral
1360339304749232129,Negative
1360329385002209280,Positive
1360314084135079936,Positive
1360313640222564352,Negative
1360311935523188736,Positive
1360310357470765063,Negative
1360309183036334080,Neutral
1360307852535951364,Neutral
1360306323259154432,Neutral
1360297309309784064,Neutral
1360296687210692608,Neutral
1360295342890045442,Neutral
1360293596549718016,Positive
1360293503658455043,Neutral
1360291975702802434,Neutral
1360291934934237184,Negative
1360289514237796354,Neutral
1360288987080921088,Positive
1360288198430101505,Positive
1360287670920859648,Negative
1360286973693358081,Neutral
1360286625968791552,Negative
1360286222233444353,Negative
1360284806634872834,Positive
1360283884508782592,Negative
1360283052866367493,Neutral
1360282379231797252,Negative
1360282124838858755,Negative
1360279324809515008,Neutral
1360278817282002944,Negative
1360278519255715844,Neutral
1360277595808362496,Neutral
1360276795312852992,Neutral
1360275197262135297,Negative
1360274991116218375,Neutral
1360274867560407042,Negative
1360274725956558849,Neutral
1360271396924887044,Neutral
1360271265357959171,Neutral
1360270311967522819,Neutral
1360270243092860933,Negative
1360269934547279873,Neutral
1360269451577356293,Neutral
1360269216314650624,Neutral
1360268146041450501,Neutral
1360266043860504578,Negative
1360264313294917634,Negative
1360263765883645952,Negative
1360261879436771328,Neutral
1360261445825433601,Neutral
1360260742465789958,Positive
1360258871785189378,Neutral
1360257016610971650,Neutral
1360256339323195395,Negative
1360256333543403523,Positive
1360255855073976326,Positive
1360255378542321665,Negative
1360254966695305217,Negative
1360254833584861186,Neutral
1360254003431411717,Neutral
1360253918056337408,Negative
1360253374210314240,Negative
1360251335182962692,Neutral
1360250908186009604,Neutral
1360250894873292801,Positive
1360250853920104452,Neutral
1360250775075655680,Negative
1360250350393991169,Neutral
1360250185838862343,Neutral
1360248231955845128,Neutral
1360247857110863878,Negative
1360247724998762498,Neutral
1360246922762620928,Neutral
1360246095259996163,Neutral
1360245623862136837,Positive
1360244946003918851,Positive
1360244889334685699,Negative
1360244590171758592,Neutral
1360244307169476609,Positive
1360243862694862853,Positive
1360243744604188680,Positive
1360243652249804807,Positive
1360243089030320130,Positive
1360242744732471299,Neutral
1360242699186679811,Neutral
1360242357371740160,Negative
1360242313046355969,Neutral
1360241927057100804,Negative
1360241375334211585,Neutral
1360241144290942979,Negative
1360240718120247299,Positive
1360240679738253312,Negative
1360240068359671808,Neutral
1360239633200726016,Positive
1360238829156720652,Neutral
1360238375534350340,Positive
1360238078573518849,Negative
1360238068867846147,Positive
1360237946331230209,Neutral
1360237003455881222,Positive
1360236450680250368,Positive
1360236441473748993,Neutral
1360236219469234177,Negative
1360235758091595781,Negative
1360235449067868170,Negative
1360235190333808640,Neutral
1360234682554621958,Neutral
1360233706753957890,Neutral
1360233285364813826,Negative
1360232763966648320,Negative
1360232702499147783,Negative
1360230464011661319,Neutral
1360229552773992449,Negative
1360229262112956419,Neutral
1360228146516168705,Negative
1360227950583373828,Neutral
1360227409212002307,Positive
1360227331948748806,Neutral
1360227217129627650,Neutral
1360227159520931841,Neutral
1360227105557016577,Neutral
1360226839940063232,Negative
1360226697316945921,Neutral
1360226551044796425,Negative
1360226547790086144,Neutral
1360226307271839748,Neutral
1360225384210468870,Neutral
1360224617026097153,Negative
1360223695877279750,Positive
1360222383739523072,Negative
1360222233969401857,Neutral
1360221290284548097,Negative
1360221212786401283,Positive
1360221204288729088,Positive
1360221056720465920,Positive
1360220877464346625,Negative
1360220567240990726,Neutral
1360219516802801669,Negative
1360219513816424453,Neutral
1360218884536602631,Negative
1360218632043732993,Neutral
1360217896664723457,Negative
1360216957925003269,Neutral
1360216165675458560,Positive
1360216161510596611,Neutral
1360215947622031365,Positive
1360215782974607370,Positive
1360215670261043201,Positive
1360214479674302468,Positive
1360214427635646470,Negative
1360214268465975297,Negative
1360213043636883456,Negative
1360211333271101446,Positive
1360211116660465669,Negative
1360210731279392774,Positive
1360208786716205060,Negative
1360206776042352645,Negative
1360206449738010625,Positive
1360206356792320001,Neutral
1360205653176848390,Positive
1360205321122107394,Neutral
1360205066158841856,Negative
1360204848004702208,Neutral
1360204382831185926,Neutral
1360204140354310149,Positive
1360204043709161474,Negative
1360203576258121728,Neutral
1360202618425856001,Negative
1360201936801128451,Negative
1360201928794202113,Positive
1360201672706822151,Neutral
1360201336290226176,Negative
1360200703747084292,Positive
1360200432354693127,Neutral
1360199252354322432,Positive
1360199167277035522,Neutral
1360198639272878086,Neutral
1360198553314881542,Positive
1360198245599698945,Neutral
1360198158056267788,Neutral
1360197825389207553,Positive
1360197509960798216,Neutral
1360197329500786689,Negative
1360197114500841477,Positive
1360196912607940611,Neutral
1360196522055372803,Neutral
1360196342832787456,Neutral
1360196219755106306,Positive
1360196121113468932,Negative
1360195670259290113,Neutral
1360195638667874304,Positive
1360195611727810560,Neutral
1360195401618313227,Positive
1360195080586334208,Negative
1360195005659316225,Neutral
1360194895126794241,Neutral
1360194722803798020,Neutral
1360194667933888514,Negative
1360194658698100742,Negative
1360194263582208004,Negative
1360192978875076609,Neutral
1360192147459174400,Negative
1360191217217118208,Neutral
1360190559634137091,Neutral
1360190312728043523,Neutral
1360190210110152708,Negative
1360189343432724480,Neutral
1360188737557204997,Neutral
1360188337428910082,Neutral
1360188325441642500,Neutral
1360186852972531712,Negative
1360186422343258116,Negative
1360186359269388296,Negative
1360186296900022273,Neutral
1360186129656410114,Neutral
1360183057693569028,Positive
1360181753499979786,Negative
1360181072357593089,Negative
1360181061649530881,Negative
1360180143369588736,Neutral
1360178959661494273,Neutral
1360178580924239872,Neutral
1360176276544376833,Negative
1360175634140418050,Neutral
1360175465995005956,Negative
1360174012157018113,Positive
1360173028030566400,Negative
1360169480475664386,Neutral
1360168439382376452,Negative
1360166048587153412,Neutral
1360165567835951104,Neutral
1360164683831865347,Neutral
1360163821982162946,Negative
1360163117393604611,Positive
1360162845527187462,Negative
1360162477649010691,Neutral
1360162204830502913,Neutral
1360161956573847556,Neutral
1360161342297051137,Neutral
1360161135484280834,Positive
1360159665905045508,Positive
1360157462255472641,Positive
1360157023308947456,Neutral
1360156111123345411,Positive
1360155879669067779,Positive
1360155669169463297,Neutral
1360155536130404355,Negative
1360155226578190338,Neutral
1360154451919556608,Positive
1360152793634328578,Negative
1360152721924345864,Positive
1360151467294748673,Positive
1360151085701234690,Negative
1360150737750167552,Negative
1360148831929704448,Neutral
1360148479566180352,Neutral
1360147841302204417,Neutral
1360146355746787333,Negative
1360145593482366976,Neutral
1360143934157070338,Neutral
1360143545386954758,Positive
1360143522360270850,Neutral
1360143508691013637,Neutral
1360143342923784197,Neutral
1360141678246391813,Negative
1360141096878174211,Negative
1360140986861580291,Negative
1360140421121200128,Positive
1360139512521707521,Neutral
1360138963063771136,Neutral
1360138327253413891,Negative
1360136837684027392,Positive
1360136723427115009,Negative
1360134765593063428,Neutral
1360134681639800840,Positive
1360133701330292739,Negative
1360133524313939969,Negative
1360132286436413441,Positive
1360132035289911296,Neutral
1360131823766966273,Neutral
1360131591020765185,Neutral
1360130911694516225,Negative
1360127463846682630,Positive
1360127189107183618,Neutral
1360126333167173638,Positive
1360125662892228609,Positive
1360125501688270848,Neutral
1360122782432907265,Positive
1360121625488748544,Positive
1360120353201135616,Positive
1360119858189398018,Neutral
1360118920192036864,Negative
1360118715946213380,Neutral
1360117796038877186,Negative
1360117540920303616,Neutral
1360116441161240579,Negative
1360115769669865473,Negative
