tweetid,userid,createddate,tweet,cleantweet
1360378130490249217,1404005396,2021-02-12 23:59:55,PSBB goblook ga jelaaaaaas!!!,psbb goblook ga jelaaaaaas
1360378123229908992,175785800,2021-02-12 23:59:53,"#InfoRaka Pemberlakuan PSBB Proposional  Kota Bandung dalam Rangka Pencegahan dan Pengendalian Covid-19 berlaku mulai 9 sampai 25 Februari 2021, berikut hal-hal yang harus dipatuhi. https://t.co/rGYQgTOoH0",inforaka pemberlakuan psbb proposional kota bandung rangka pencegahan pengendalian covid19 berlaku 9 25 februari 2021 halhal dipatuhi httpstcorgyqgtooh0
1360377006865608705,1274287293725982722,2021-02-12 23:55:27,"@hakieeem @FatrasunuPS @tayanamiannn Maaf mas ya, mungkin gak kulaih jd gak tau. Ketika lihat bapak saya dan wali mahasiswa lainnya kerja keras dicegat2i aturan psbb dan lainnya trus anak tbtb minta uang buat bayar ukt, mana naik lagi dimasa pandemi. Mreka stidaknya brjuang buat org tua mreka",hakieeem fatrasunups tayanamiannn maaf mas ya gak kulaih jd gak tau lihat wali mahasiswa kerja keras dicegat2i aturan psbb trus anak tbtb uang bayar ukt dimasa pandemi mreka stidaknya brjuang org tua mreka
1360375538217414658,88237073,2021-02-12 23:49:37,"Yang jadi soal adalah, masyarakat kita lihat kabar buruk saja cuek, apalagi yang buruk tidak dikabarkan. Padahal pemerintah pengin masyarakat sadar dan peduli. Buktinya, ada PSBB, PPKM (apapun namanya itu), regulasi perjalanan, dll.",masyarakat lihat kabar buruk cuek buruk dikabarkan pemerintah pengin masyarakat sadar peduli buktinya psbb ppkm apapun namanya regulasi perjalanan dll
1360375357723971589,1307643523743637506,2021-02-12 23:48:54,"@ReenTis_ Klo ini gak nyimak lagi,tp lsg sepakat...coba dari awal lsg lockdown...atau minimal psbb nya yg ketat,mungkin gak bakalan kaya skrg...",reentis klo gak nyimak lagitp lsg sepakatcoba lsg lockdownatau minimal psbb nya yg ketatmungkin gak kaya skrg
1360372124121059330,33225111,2021-02-12 23:36:03,@kompascom Cie cie yg bangga ga macet padahal PSBB 😂,kompascom cie cie yg bangga ga macet psbb 😂
1360370662406168579,175785800,2021-02-12 23:30:15,"PSBB Proporsionial di Kota Bandung, kafe dan restoran di Kota Bandung buka sampai pukul 21.00, kapasitas 50%..

~ #SenyumPagi ""Semangat Menyambut Pagi"" Jam 6-9 pagi w/ @diaryjeanmarlon!

(((ON AIR))) on 98,8 Raka FM Bandung https://t.co/J8XQxmPuyE",psbb proporsionial kota bandung kafe restoran kota bandung buka 2100 kapasitas 50 senyumpagi semangat menyambut pagi jam 69 pagi w diaryjeanmarlon on air on 988 raka fm bandung httpstcoj8xqxmpuye
1360369988876468225,91758662,2021-02-12 23:27:34,"BuzzeRp kayaknya melakukan segalanya kecuali menghentikan PSBB dan PSKM ga guna yang merugikan rakyat ini. 

Segala isu dikeluarkan mulai dari Radikal Radikul, dll

Tolonglah dilist siapa aja yang masih support PSBB ini @BNPB_Indonesia @jokowi , supaya kemarahan rakyat terarah.",buzzerp kayaknya kecuali menghentikan psbb pskm ga merugikan rakyat isu dikeluarkan radikal radikul dll tolonglah dilist aja support psbb bnpbindonesia jokowi kemarahan rakyat terarah
1360366456832028672,586668821,2021-02-12 23:13:32,"@pln_jogja Sibuk kerja piye. Kerjaan jauh berkurang waktu kerja hilang separo. Gaji jauh berkurang. 
Tapi masih sukur masih bekerja. 
Gara² psbb. 
Nek ngomong ki ojo waton koyo ngono to min.",plnjogja sibuk kerja piye kerjaan berkurang kerja hilang separo gaji berkurang sukur gara² psbb nek ngomong ki ojo waton koyo ngono to min
1360365927137644544,387285696,2021-02-12 23:11:26,"@dr_koko28 @Ameeranti Setuju fokus ke Treatment. Sebab jika berita di bawah ini benar berarti menunjukkan bodohnya kebijakan Tracing dan Testing, dan PSBB.
https://t.co/SWDvVnavC5",drkoko28 ameeranti setuju fokus treatment berita bodohnya kebijakan tracing testing psbb httpstcoswdvvnavc5
